addressnbr,addressline1,city,state,zip,streetaddress,lat,lng,tradename,owner,phone,county
2602,FM 1604W NORTH SUITE 107,SAN ANTONIO,TX,78248,2602 FM 1604W NORTH SUITE 107,29.59048033,-98.52526442,ALAMO CITY LIQUOR INC.,ALAMO CITY LIQUOR INC.,210-493-2130,Bexar
26108,OVERLOOK PARKWAY SUITE 1116,SAN ANTONIO,TX,78260,26108 OVERLOOK PARKWAY SUITE 1116,29.69664485,-98.48740592,ALAMO CITY LIQUOR INC.,ALAMO CITY LIQUOR INC.,210-497-3142,Bexar
1173,EDGEBROOK STREET 'A',HOUSTON,TX,77034,1173 EDGEBROOK STREET 'A',29.64170255,-95.24220713,ALAMO LIQUORS,META ENTERPRISES INC.,(713) 944-6420,Harris
2919,BARKER CYPRESS ROAD SUITE K,HOUSTON,TX,77084,2919 BARKER CYPRESS ROAD SUITE K,29.8111839,-95.6879283,ALCO LIQUOR,ALCONOMY GROUP INC.,(281) 646-9780,Harris
23221,ALDINE WESTFIELD SUITE L,SPRING,TX,77373,23221 ALDINE WESTFIELD SUITE L,30.0484686,-95.3882927,ALDINE CHAMPION LIQUOR,KRISHNA INTERNATIONAL INC.,(281) 355-1215,Harris
411,BRAZOS ST  STE 100,AUSTIN,TX,78701-4643,411 BRAZOS ST  STE 100,30.2662941,-97.7418365,ALL AMERICAN DISCOUNT LIQUORS,AUSTIN MAYA LLC,512-322-5225,Travis
4527,34TH STREET,LUBBOCK,TX,79410,4527 34TH STREET,33.56316884,-101.9085299,ALL STAR LIQUOR,KRISHNA KRUPA LLC,806-687-1058,Lubbock
1210,E MAIN STREET SUITE 150,ALLEN,TX,75002,1210 E MAIN STREET SUITE 150,33.10007611,-96.64094565,ALLEN LIQUOR 4 U,LIQUOR 4 U LLC,214-727-6181,Collin
103,IH 45NW 'A',ALMA,TX,751195110,103 IH 45NW 'A',32.32961153,-96.59359772,ALMA DISCOUNT LIQUOR STORE,ALMA DISCOUNT PACKAGE INC.,(972) 875-7710,Ellis
700,ALMA DRIVE SUITE 143,PLANO,TX,75075,700 ALMA DRIVE SUITE 143,33.0099699,-96.7148833,ALMA LIQUOR & MARKET,SILVER ARCH LLC,,Collin
86544,HWY 289 NORTH,POTTSBORO,TX,75076,86544 HWY 289 NORTH,33.8557022,-96.6743504,ALOHA LIQUOR,IN AND OUT GAS LLC,903-786-0073,Grayson
1302,W KENNEDALE PARKWAY,KENNEDALE,TX,76060,1302 W KENNEDALE PARKWAY,32.6652281,-97.2404697,ALPS DISCOUNT LIQUOR & SMOKE,ALPS REALTY OF TEXAS INC.,817-478-5370,Tarrant
7064,WILL CLAYTON PARKWAY SUITE A,HOUSTON,TX,77338,7064 WILL CLAYTON PARKWAY SUITE A,29.9822738,-95.2820045,ALTY LIQUOR,Z'S COAL PIZZA LLC,832-815-3871,Harris
4410,LEOPARD STREET,CORPUS CHRISTI,TX,78408,4410 LEOPARD STREET,27.79718024,-97.44216769,AMAZON LIQUOR,AMAZON LIQUOR INC.,361-452-1390,Nueces
5412,BASSWOOD BOULEVARD,FORT WORTH,TX,76137,5412 BASSWOOD BOULEVARD,32.87440115,-97.26823975,AMERICAN LIQUOR,KANDOLA EMPIRE INC.,817-849-2545,Tarrant
14821,INWOOD ROAD,ADDISON,TX,75001,14821 INWOOD ROAD,32.94962526,-96.82917837,AMERICAN SPIRITS BEVERAGE CO,AJ WORLDWIDE INC.,972-386-5455,Dallas
309,MAIN STREET,SPEARMAN,TX,79081,309 MAIN STREET,36.19854044,-101.1926038,AMIGOS,SPEARMAN AMIGOS LIQUOR STORE,806-694-2337,Hansford
4444,W JEFFERSON BOULEVARD,COCKRELL HILL,TX,75211,4444 W JEFFERSON BOULEVARD,32.73721437,-96.89196881,AMIGOS LIQUOR BEER & WINE,VSJK CORPORATION,469-684-2857,Dallas
13310,CULLEN BOULEVARD 'F',HOUSTON,TX,770473824,13310 CULLEN BOULEVARD 'F',29.61645441,-95.35551551,ANDREW LIQUOR,MINH-TAN INVESTMENT INC.,(713) 733-9389,Harris
7721,ALMEDA GENOA ROAD SUITE B,HOUSTON,TX,77075,7721 ALMEDA GENOA ROAD SUITE B,29.6259514,-95.2845803,ANDREW LIQUOR #101,SHICHAKA INC.,713-991-0366,Harris
8420,S SAM HOUSTON WEST PARKWAY,HOUSTON,TX,770852242,8420 S SAM HOUSTON WEST PARKWAY,29.6216681,-95.5086247,ANDREW LIQUOR #2,MARKHA CORPORATION,713-729-1701,Harris
11322,BELLAIRE BOULEVARD SUITE 115,HOUSTON,TX,77072,11322 BELLAIRE BOULEVARD SUITE 115,29.704193,-95.5780329,ANDREW LIQUOR #4,VANESMA INVESTMENTS INC.,281-564-4313,Harris
15216,S POST OAK ROAD,HOUSTON,TX,77053,15216 S POST OAK ROAD,29.6054429,-95.4652645,ANDREW LIQUOR #5,ATNK INVESTMENT LLC,713-433-5855,Harris
1418,GESSNER ROAD SUITE B,HOUSTON,TX,77080,1418 GESSNER ROAD SUITE B,29.7958794,-95.5442843,ANDREW LIQUOR #6,MATNESMA INC.,281-564-4313,Harris
824,W LITTLE YORK ROAD,HOUSTON,TX,77091,824 W LITTLE YORK ROAD,29.86667669,-95.41987146,ANDY LIQUOR,"NGUYEN, DAVID",281-372-6027,Harris
1801,HWY 59 NORTH,SHEPHERD,TX,77371-6221,1801 HWY 59 NORTH,30.49361152,-94.99092692,ANDY'S LIQUOR,"PATEL, ASHOKKUMAR RAOJIBHAI",936-628-2639,San Jacinto
9616,N LAMAR BOULEVARD SUITE 165,AUSTIN,TX,787534150,9616 N LAMAR BOULEVARD SUITE 165,30.3667979,-97.6955972,ANDY'S LIQUORS,DARU HOUSE LLC,(512) 832-0949,Travis
4734,L J PARKWAY SUITE 308,SUGAR LAND,TX,77479,4734 L J PARKWAY SUITE 308,29.56644937,-95.63560349,ANGEL LIQUOR,ANGEL VP LLC,,Fort Bend
901,E PLANO PARKWAY SUITE 109,PLANO,TX,75074,901 E PLANO PARKWAY SUITE 109,33.0078871,-96.7005832,ANGEL'S LIQUOR,JOLIE NT LLC,469-358-6745,Collin
2540,E PLANO PARKWAY SUITE 100,PLANO,TX,75074,2540 E PLANO PARKWAY SUITE 100,33.0061368,-96.6810511,ANGEL'S LIQUOR,JOLIE NT2 LLC,972-424-0248,Collin
5764,IH 45W SOUTH,ANGUS,TX,75109,5764 IH 45W SOUTH,32.04520575,-96.35403444,ANGUS DISCOUNT LIQUOR BEER & WINE,"HENG, DAVID",903-874-3414,Navarro
5686,IH 45W SOUTH,CORSICANA,TX,75110,5686 IH 45W SOUTH,32.08693059,-96.52878019,ANGUS FIRST STOP,"KHEIV, NANCY LANG",903-872-8403,Navarro
10150,ANTOINE DRIVE SUITE 200,HOUSTON,TX,77086,10150 ANTOINE DRIVE SUITE 200,29.9238411,-95.4808898,ANTOINE LIQUOR,10150 MYKIM CORPORATION,281-931-4604,Harris
1608,W DICKINSON BOULEVARD,FORT STOCKTON,TX,79735-4239,1608 W DICKINSON BOULEVARD,30.8940177,-102.8947081,APACHE LIQUORS,"FRANCO, RAYMUNDO PORRAS JR (ET AL)",432-336-5767,Pecos
1228,RANGER HWY SUITE 200,WEATHERFORD,TX,76086,1228 RANGER HWY SUITE 200,32.75774831,-97.81672972,APES LIQUOR,COX & KING LLC,760-525-6100,Parker
503,NW PARKWAY,AZLE,TX,76020,503 NW PARKWAY,32.90002586,-97.56544351,APEX BEER LIQUORS WINE,SHOT STOP BEER LIQUORS WINE LLC,,Tarrant
6316,LAKE WORTH BOULEVARD,LAKE WORTH,TX,76135,6316 LAKE WORTH BOULEVARD,32.83433258,-97.46486973,APEX BEER LIQUORS WINE,SHOT STOP BEER LIQUORS WINE LLC,,Tarrant
100,NW PARKWAY,AZLE,TX,76020,100 NW PARKWAY,32.90002586,-97.56544351,APEX BEER LIQUORS WINE,SHOT STOP BEER LIQUORS WINE LLC,(817) 444-2012,Tarrant
717,W MAIN STREET,BAYTOWN,TX,77520,717 W MAIN STREET,29.72006519,-94.97917089,APOLLO LIQUOR,PISETHEE LLC,281-422-0710,Harris
495,HWY 121 SUITE 200,LEWISVILLE,TX,75067,495 HWY 121 SUITE 200,32.9922457,-96.9781358,APPLE JACK'S LIQUOR,APPLEJACKS LIQUOR LLC,214-444-7080,Denton 
4524,APPLEBY SAND ROAD,NACOGDOCHES,TX,759656547,4524 APPLEBY SAND ROAD,31.6453198,-94.6179389,APPLEBY LIQUOR,APPLE INTERNATIONAL INC.,,Nacogdoches
345,E HICKORY STREET,DENTON,TX,76201,345 E HICKORY STREET,33.2149343,-97.128492,APPLEJACKS LIQUORS,APPLEJACKS BEVERAGES LLC,940-808-0390,Denton 
18401,W LAKE HOUSTON PARKWAY,HUMBLE,TX,77346,18401 W LAKE HOUSTON PARKWAY,29.9851109,-95.1620317,AR'S LIQUOR,TIME COOL LLC,,Harris
2214,INWOOD ROAD,DALLAS,TX,75235,2214 INWOOD ROAD,32.81771299,-96.84064368,ARCADIA LIQUOR,INWOOD BEVERAGES INC.,214-797-8848,Dallas
5626,E RL THORNTON FREEWAY,DALLAS,TX,75223,5626 E RL THORNTON FREEWAY,32.79121776,-96.74560809,ARCADIA WINE & SPIRITS,ENWOOD BEVERAGE INC.,214-370-9095,Dallas
426,E LAMAR BOULEVARD SUITE 100,ARLINGTON,TX,76011,426 E LAMAR BOULEVARD SUITE 100,32.76069626,-97.1103117,ARLINGTON LIQUOR STORE,KOUSALYAPUR LLC,882-323-4578,Tarrant
7889,HWY 83 SOUTH,ASHERTON,TX,78827,7889 HWY 83 SOUTH,28.42466775,-99.73538188,ASHERTON LIQUOR STORE,"DELEON, ELIDORO JR (ET AL)",,Dimmit
2087,W OAKLAWN SUITE 205,PLEASANTON,TX,78064,2087 W OAKLAWN SUITE 205,28.94612449,-98.50384169,ATASCOSA LIQUOR,URRARGUIJO LIMITED LIABILITY COMPANY,830 569-8596,Atascosa
8312,BURNET ROAD SUITE 113,AUSTIN,TX,78757,8312 BURNET ROAD SUITE 113,30.3636656,-97.7294945,AUSTIN'S LIQUOR III,"CHUKWURAH, AUGUSTINE CHUKWU",(512) 491-0898,Travis
11721,W BELLFORT,HOUSTON,TX,77099,11721 W BELLFORT,29.67076896,-95.58512222,AVALON DISCOUNT LIQUOR FINE WINE & BEER,"LALANI, KARIM NOORUDDIN",(281) 495-0663,Harris
3906,AVENUE Q,LUBBOCK,TX,79412,3906 AVENUE Q,33.55824226,-101.8577299,AVENUE Q LIQUOR & WINE,"SHRESTHA, PEMA CHOEZOAM",806-740-0000,Lubbock
10510,W PARMER LANE SUITE 118,AUSTIN,TX,787174876,10510 W PARMER LANE SUITE 118,30.496498,-97.7741912,AVERY RANCH WINE & SPIRITS,WEE DRAMS LLC,512-341-0166,Williamson
4801,S FREEWAY SUITE 125,FORT WORTH,TX,76115,4801 S FREEWAY SUITE 125,32.67878567,-97.33073989,AXO LIQUOR,"PATEL, RAKESHKUMAR CHANDUBHAI",817-922-0888,Tarrant
548,IH 20 NORTH,COLORADO CITY,TX,79512,548 IH 20 NORTH,32.31551312,-100.9177168,B & B LIQUOR,CEE JAY'S INC.,325-728-8325,Mitchell
502,W 7TH,DALHART,TX,790222005,502 W 7TH,36.0595005,-102.5285497,B & B LIQUOR,NEB-TEX OF DALHART LLC,806 249-5719,Dallam
605,FM 2353 NORTH SUITE B,GRAFORD,TX,76449,605 FM 2353 NORTH SUITE B,32.92627248,-98.42779661,B & C LIQUOR,BANIYA & CHIPALU INCORPORATED,940-595-6869,Palo Pinto
2500,MILLER AVENUE,FORT WORTH,TX,761054104,2500 MILLER AVENUE,32.72087739,-97.263291,B & D LIQUOR,"JACKSON, DORLINDA LESHAWN (ET AL)",(817) 531-2060,Tarrant
22704,LOOP 494 SUITE L,HOUSTON,TX,77339,22704 LOOP 494 SUITE L,30.040379,-95.2511953,B & G LIQUOR,MLP MANAGEMENT INC.,281-358-3049,Harris
2207,19TH STREET,HONDO,TX,78861,2207 19TH STREET,29.34630703,-99.15367473,B & H SPIRITS AND MORE!,RIO VERDE BEVERAGES INC.,(830) 426-5753,Medina
11229,LEOPARD STREET,CORPUS CHRISTI,TX,78410,11229 LEOPARD STREET,27.8461609,-97.58708553,B & L DOUBLE SHOTS,B & L DOUBLE SHOTS LLC,361-815-1685,Nueces
