addressnbr,addressline1,city,state,zip,streetaddress,tradename,owner,phone,county,shortname,oldlat,oldlng,lat,lng
8024,KITTY HAWK,CONVERSE,TX,78109-2424,8024 KITTY HAWK,5TH AVE LIQUOR,2015 A & B LLC,210-265-1276,Bexar,,29.53488879,-98.33164477,29.5349,-98.3309
1000,W NAVARRO AVENUE,DE LEON,TX,764441033,1000 W NAVARRO AVENUE,6/16 LIQUOR,"MAZUREK, THOMAS CHARLES III",254-879-7642,Comanche,,32.1199974,-98.5442983,32.1145,-98.5221
551,STEMMONS FREEWAY SUITE 300,SANGER,TX,76266,551 STEMMONS FREEWAY SUITE 300,6S LIQUOR,GANGA-OM LLC,701-306-8712,Denton ,,33.36725857,-97.21408152,33.3651,-97.1812
2003,HWY 114E SUITE 425,TROPHY CLUB,TX,76262,2003 HWY 114E SUITE 425,6S SPIRITS,6S RANCH LLC,,Denton ,,33.00947183,-97.22579693,32.994,-97.1935
1206,S FRAZIER STREET SUITE A,CONROE,TX,77301,1206 S FRAZIER STREET SUITE A,7 LIQUOR,T J MADISYN L.L.C.,,Montgomery,,30.32062031,-95.46366575,30.2912,-95.4566
942,FM 1960,HOUSTON,TX,77073,942 FM 1960,713 LIQUOR,713 LIQUOR LLC,,Harris,,29.99988088,-95.39954308,30.0172,-95.4446
9124,W CAMP BOWIE BOULEVARD,FORT WORTH,TX,76116,9124 W CAMP BOWIE BOULEVARD,820 LIQUOR,BEHNIWAL LLC,817-372-6967,Tarrant,,32.72449506,-97.47616991,32.7259,-97.4788
26835,CYPRESSWOOD DRIVE SUITE 10,SPRING,TX,77373,26835 CYPRESSWOOD DRIVE SUITE 10,888 SPRING LIQUOR,GOLDEN 888 INC.,281-907-7200,Harris,,30.0625823,-95.3933534,30.0621,-95.3947
10101,JACKSBORO HWY SUITE B,FORT WORTH,TX,76135,10101 JACKSBORO HWY SUITE B,9  MILE LIQUOR,TOOR C-STORE LLC,817-238-1772,Tarrant,,32.83834748,-97.49365497,32.8384,-97.4934
6929,AIRPORT BOULEVARD SUITE 108,AUSTIN,TX,78752,6929 AIRPORT BOULEVARD SUITE 108,99 RANCH MARKET,TAWA INC. (RETAIL),,Travis,,30.3379509,-97.7173211,30.338,-97.7173
131,W SPRING CREEK PARKWAY UNIT A,PLANO,TX,75023-4619,131 W SPRING CREEK PARKWAY UNIT A,99 RANCH MARKET,TAWA INC. (RETAIL),972-943-8999,Collin,,33.0592077,-96.6948334,33.0595,-96.6951
1005,BLALOCK ROAD UNIT E,HOUSTON,TX,77055-7441,1005 BLALOCK ROAD UNIT E,99 RANCH MARKET,TAWA INC. (RETAIL),714-521-8899,Harris,,29.7858389,-95.5219938,29.7855,-95.5234
4516,HWY 198,CANEY CITY,TX,75148,4516 HWY 198,9NINE LIQUORS,SHAKTI SHIVA INVESTMENT INC.,903-489-1797,Henderson,,32.12465223,-96.01214303,32.2106,-96.0265
105,SE 9TH AVENUE,PERRYTON,TX,79070,105 SE 9TH AVENUE,9TH STREET LIQUOR,"WEARS, GARY WAYNE (ET AL)",806-648-3330,Ochiltree,,36.39130301,-100.8000555,36.3914,-100.801
911,W MAIN SUITE A,NACOGDOCHES,TX,75964,911 W MAIN SUITE A,A & B LIQUOR,A & B BEVERAGE INC.,(936) 564-1940,Nacogdoches,,31.60438,-94.6644559,31.6044,-94.6644
18514,KUYKENDAHL ROAD,SPRING,TX,77379,18514 KUYKENDAHL ROAD,A & R LIQUOR,VALOR INVESTMENTS L.L.C.,281-355-5400,Harris,,30.03871032,-95.48724986,30.039,-95.4868
1148,OLD HWY 90 WEST,SAN ANTONIO,TX,782372437,1148 OLD HWY 90 WEST,A & V LIQUOR,"PATEL, ARVINDBHAI UMEDBHAI",210 432-1885,Bexar,,29.4211167,-98.56932028,29.4208,-98.5858
12657,BISSONNET STREET,HOUSTON,TX,77099,12657 BISSONNET STREET,A & Y LIQUOR,ZCWTXPLUS CORPORATION,281-495-4772,Harris,,29.67753096,-95.60120741,29.6767,-95.6013
1217,E FERGUSON,PHARR,TX,78577,1217 E FERGUSON,A 2 Z LIQUORS,A 2 Z LIQUORS LLC,(956) 783-3555,Hidalgo,,26.210206,-98.16531427,26.2099,-98.1653
121,S BROADWAY SUITE 3,ELSA,TX,78543,121 S BROADWAY SUITE 3,A 2 Z LIQUORS LLC,A 2 Z LIQUORS LLC,956-783-3555,Hidalgo,,26.29158266,-97.99328852,26.2918,-97.9936
602,MCNEIL RD SUITE 120,ROUND ROCK,TX,78681,602 MCNEIL RD SUITE 120,A N B LIQUOR,ANB ENTERPRISE 2019 LLC,,Williamson,,30.49977,-97.6862287,30.5,-97.6863
5663,TREASCHWIG ROAD,SPRING,TX,77373,5663 TREASCHWIG ROAD,A N LIQUOR,JHSY LLC,281 443-4608,Harris,,30.0444617,-95.34806192,30.0454,-95.3485
2210,BROADWAY STREET,SAN ANTONIO,TX,78215,2210 BROADWAY STREET,A PLUS S.P.R LIQUOR #3,K E LIQUOR INC.,210-467-5211,Bexar,,29.4465556,-98.4750703,29.4467,-98.4752
15150,NACOGDOCHES ROAD SUITE 125,SAN ANTONIO,TX,78247,15150 NACOGDOCHES ROAD SUITE 125,A PLUS S.P.R. LIQUOR,S.P.R. LIQUOR INC.,210-467-5211,Bexar,,29.5790997,-98.3694942,29.5791,-98.3695
700,E MURCHISON AVENUE,ELDORADO,TX,76936,700 E MURCHISON AVENUE,A'S BEVERAGE BARN,A'S BEVERAGE BARN LLC,325-260-8332,Schleicher,,30.85507471,-100.5915675,30.8552,-100.593
7211,FM 1960W BAY 150,HUMBLE,TX,77338,7211 FM 1960W BAY 150,A-1 LIQUOR,"SHAKYA, SUSHILA",281-570-6993,Harris,,30.00678893,-95.29019494,30.0068,-95.3164
2602,SAM HOUSTON AVENUE,HUNTSVILLE,TX,77340,2602 SAM HOUSTON AVENUE,A-1 LIQUORS,"TEM, KHEMARA",936-291-3534,Walker,,30.70497505,-95.54350183,30.7049,-95.5436
15007,LAWNDALE STREET,HOUSTON,TX,77017,15007 LAWNDALE STREET,A-C CUT RATE,PNR INVESTMENTS INC.,(713) 520-1072,Harris,,29.7102219,-95.2272253,29.7103,-95.227
1701,FRONTAGE ROAD,VERNON,TX,76384,1701 FRONTAGE ROAD,A-STAR LIQUOR BEER & WINE,"SOU, PHANY SANN",(940) 552-9533,Wilbarger,,34.16765935,-99.32556135,34.1589,-99.2839
15011,LAWNDALE STREET,HOUSTON,TX,77017,15011 LAWNDALE STREET,A.C. CUT RATE WHOLESALE LIQUOR,PNR INVESTMENTS INC.,713-472-1400,Harris,,29.7106902,-95.2267842,29.7104,-95.2269
3225,W AVENUE,SAN ANTONIO,TX,78213,3225 W AVENUE,AAA LIQUOR,"ASHTARANI, SHARAFEDIN",210-236-8973,Bexar,,29.51700281,-98.52362247,29.4905,-98.5263
207,W 42ND STREET,ODESSA,TX,79764,207 W 42ND STREET,AAA LIQUOR,DATAING LLC,432-276-5254,Ector,,31.88193216,-102.3865161,31.8814,-102.388
2402,SEAWALL BOULEVARD SUITE A,GALVESTON,TX,77550,2402 SEAWALL BOULEVARD SUITE A,AAA LIQUOR,MN SEAWALL INVESTMENTS LLC,409-621-1062,Galveston,,29.28906256,-94.78957531,29.2891,-94.7896
125,E MAIN STREET,ROYSE CITY,TX,75189,125 E MAIN STREET,AB BEER & WINE,AAMAN126 INC.,972-635-9500,Rockwall,,32.97515337,-96.33215336,32.9751,-96.3317
2036,HWY 183,LEANDER,TX,78641,2036 HWY 183,AB LIQUOR,1350 WHITEWING INC.,512-758-9860,Williamson,,30.62612436,-97.8641118,30.6273,-97.8651
5194,BUFFALO GAP ROAD 'C',ABILENE,TX,79606,5194 BUFFALO GAP ROAD 'C',ABBY'S BOTTLES & BREW,ERVIN AND ERVIN LLC,325-691-5000,Taylor,,32.3876469,-99.7661073,32.3877,-99.766
3820,FM 3009 SUITE 116,SCHERTZ,TX,78154,3820 FM 3009 SUITE 116,ABC LIQUOR,"HOANG, LE TOTRAN",(210) 566-3466,Guadalupe,,29.5875467,-98.2678167,29.5875,-98.2678
2121,PARMER LANE SUITE 105,AUSTIN,TX,78727-4351,2121 PARMER LANE SUITE 105,ABC LIQUOR,KUNAL ENTERPRISES LLC,512-836-8790,Travis,,30.415644,-97.6975618,30.4156,-97.6976
2007,8TH AVENUE,FORT WORTH,TX,76110-1810,2007 8TH AVENUE,ABC LIQUOR,DFW ABC LIQUOR INC.,(817) 926-5706,Tarrant,,32.72223565,-97.34365232,32.722,-97.3433
3421,N LAKELINE BOULEVARD SUITE 270,LEANDER,TX,78641,3421 N LAKELINE BOULEVARD SUITE 270,ABC LIQUOR,JIV ENTERPRISES LLC,512-906-6866,Williamson,,30.5429107,-97.8644442,30.5429,-97.8645
8710,GRAND MISSION BOULEVARD,RICHMOND,TX,77407,8710 GRAND MISSION BOULEVARD,ACE 1 LIQUOR,RICHMOND BEVERAGES LLC,832-579-7549,Fort Bend,,29.6765503,-95.71251783,29.6826,-95.7161
11056,AIRLINE,HOUSTON,TX,77037,11056 AIRLINE,ACE LIQUOR,SAI RAM ENTERPRISES INC.,,Harris,,29.9168372,-95.40553947,29.9175,-95.4049
5010,W MAIN ST SUITE H,LEAGUE CITY,TX,77573,5010 W MAIN ST SUITE H,ACE LIQUOR,BAY AREA LIQUORS INC.,(281) 316-2661,Galveston,,29.4901185,-95.1545858,29.4902,-95.1547
6400,S 1ST STREET 'E',AUSTIN,TX,78745,6400 S 1ST STREET 'E',ACE LIQUOR STORE,"UWAKWEH, BONNY CHIMEH",512-761-3737,Travis,,30.2003028,-97.7861265,30.2003,-97.7861
911,CRABB RIVER ROAD,RICHMOND,TX,77469,911 CRABB RIVER ROAD,ADAM'S SPIRITS,AICIS NATIONAL INC.,281-232-4800,Fort Bend,,29.54700846,-95.69794116,29.548,-95.698
10055,ALMEDA GENOA ROAD 'F',HOUSTON,TX,77075,10055 ALMEDA GENOA ROAD 'F',ADDIS LIQUOR,ADDIS LIQUOR LLC,(713) 944-1515,Harris,,29.62762848,-95.23965715,29.6292,-95.2349
4401,E ROSEDALE STREET,FORT WORTH,TX,76105-1829,4401 E ROSEDALE STREET,ADDOX CUT RATE LIQUOR,ADDOX CUT RATE LIQUOR INC.,817-494-4317,Tarrant,,32.73161257,-97.25808668,32.7314,-97.2581
3446,HWY 83W SUITE A,RIO GRANDE CITY,TX,78582,3446 HWY 83W SUITE A,AGAVE LIQUOR STORE,"HINOJOSA, ALEJANDRO",(956) 487-0270,Starr,,26.55551187,-98.73563325,26.38,-98.8902
10508,AIRLINE DRIVE 'B',HOUSTON,TX,77037,10508 AIRLINE DRIVE 'B',AIRLINE LIQUOR STORE,"TRAN, TUAN DINH",281-999-4466,Harris,,29.90768417,-95.40222146,29.908,-95.402
1725,E ELDORADO PARKWAY SUITE 100,LITTLE ELM,TX,75068,1725 E ELDORADO PARKWAY SUITE 100,AJ SPIRITS WINE & GIFTS,DSJ ENTERPRISE INC,314-971-3080,Denton ,,33.16872403,-96.91048241,33.169,-96.9072
810,W MAIN STREET,FREDERICKSBURG,TX,78624,810 W MAIN STREET,AJ'S LIQUOR,JABBY L.L.C.,830-992-3040,Gillespie,,30.28378428,-98.88419107,30.2847,-98.8846
1109,W DUVAL,TROUP,TX,75789,1109 W DUVAL,AJ'S PLACE,"JOHNSON, DELL ALBERT",903 842 0207,Smith,,32.14501103,-95.1319432,32.1449,-95.1319
200,HWY 287 NORTH SUITE B,DECATUR,TX,76234,200 HWY 287 NORTH SUITE B,AL'S DISCOUNT LIQUOR,ALWANI INVESTMENT INC,,Wise,,33.23539281,-97.59677315,33.2326,-97.5966
8401,WETHEIMER SUITE 105,HOUSTON,TX,77063,8401 WETHEIMER SUITE 105,AL'S LIQUOR,"NGUYEN, YEN HOANG",346-571-2968,Harris,,29.73545245,-95.52162622,29.7368,-95.5149
2943,THOUSAND OAKS SUITE 3,SAN ANTONIO,TX,78247,2943 THOUSAND OAKS SUITE 3,ALAMO CITY LIQUOR,ALAMO CITY LIQUOR INC.,(210) 490-9883,Bexar,,29.5781909,-98.4391,29.5782,-98.4391
1311,N ALAMO,SAN ANTONIO,TX,78215,1311 N ALAMO,ALAMO CITY LIQUOR,ALAMO CITY LIQUOR INC.,210-490-9883,Bexar,,29.4368981,-98.4782468,29.4369,-98.4783
2602,FM 1604W NORTH SUITE 107,SAN ANTONIO,TX,78248,2602 FM 1604W NORTH SUITE 107,ALAMO CITY LIQUOR INC.,ALAMO CITY LIQUOR INC.,210-493-2130,Bexar,,29.59048033,-98.52526442,29.6018,-98.5339
26108,OVERLOOK PARKWAY SUITE 1116,SAN ANTONIO,TX,78260,26108 OVERLOOK PARKWAY SUITE 1116,ALAMO CITY LIQUOR INC.,ALAMO CITY LIQUOR INC.,210-497-3142,Bexar,,29.69664485,-98.48740592,29.6852,-98.4734
1173,EDGEBROOK STREET 'A',HOUSTON,TX,77034,1173 EDGEBROOK STREET 'A',ALAMO LIQUORS,META ENTERPRISES INC.,(713) 944-6420,Harris,,29.64170255,-95.24220713,29.6429,-95.2429
2919,BARKER CYPRESS ROAD SUITE K,HOUSTON,TX,77084,2919 BARKER CYPRESS ROAD SUITE K,ALCO LIQUOR,ALCONOMY GROUP INC.,(281) 646-9780,Harris,,29.8111839,-95.6879283,29.8112,-95.688
23221,ALDINE WESTFIELD SUITE L,SPRING,TX,77373,23221 ALDINE WESTFIELD SUITE L,ALDINE CHAMPION LIQUOR,KRISHNA INTERNATIONAL INC.,(281) 355-1215,Harris,,30.0484686,-95.3882927,30.0482,-95.3884
411,BRAZOS ST  STE 100,AUSTIN,TX,78701-4643,411 BRAZOS ST  STE 100,ALL AMERICAN DISCOUNT LIQUORS,AUSTIN MAYA LLC,512-322-5225,Travis,,30.2662941,-97.7418365,30.2663,-97.7418
4527,34TH STREET,LUBBOCK,TX,79410,4527 34TH STREET,ALL STAR LIQUOR,KRISHNA KRUPA LLC,806-687-1058,Lubbock,,33.56316884,-101.9085299,33.5629,-101.908
1210,E MAIN STREET SUITE 150,ALLEN,TX,75002,1210 E MAIN STREET SUITE 150,ALLEN LIQUOR 4 U,LIQUOR 4 U LLC,214-727-6181,Collin,,33.10007611,-96.64094565,33.0991,-96.6405
103,IH 45NW 'A',ALMA,TX,751195110,103 IH 45NW 'A',ALMA DISCOUNT LIQUOR STORE,ALMA DISCOUNT PACKAGE INC.,(972) 875-7710,Ellis,,32.32961153,-96.59359772,32.2865,-96.5465
700,ALMA DRIVE SUITE 143,PLANO,TX,75075,700 ALMA DRIVE SUITE 143,ALMA LIQUOR & MARKET,SILVER ARCH LLC,,Collin,,33.0099699,-96.7148833,33.0097,-96.7151
86544,HWY 289 NORTH,POTTSBORO,TX,75076,86544 HWY 289 NORTH,ALOHA LIQUOR,IN AND OUT GAS LLC,903-786-0073,Grayson,,33.8557022,-96.6743504,33.8557,-96.6741
1302,W KENNEDALE PARKWAY,KENNEDALE,TX,76060,1302 W KENNEDALE PARKWAY,ALPS DISCOUNT LIQUOR & SMOKE,ALPS REALTY OF TEXAS INC.,817-478-5370,Tarrant,,32.6652281,-97.2404697,32.6652,-97.2404
7064,WILL CLAYTON PARKWAY SUITE A,HOUSTON,TX,77338,7064 WILL CLAYTON PARKWAY SUITE A,ALTY LIQUOR,Z'S COAL PIZZA LLC,832-815-3871,Harris,,29.9822738,-95.2820045,29.9823,-95.282
4410,LEOPARD STREET,CORPUS CHRISTI,TX,78408,4410 LEOPARD STREET,AMAZON LIQUOR,AMAZON LIQUOR INC.,361-452-1390,Nueces,,27.79718024,-97.44216769,27.7976,-97.4423
5412,BASSWOOD BOULEVARD,FORT WORTH,TX,76137,5412 BASSWOOD BOULEVARD,AMERICAN LIQUOR,KANDOLA EMPIRE INC.,817-849-2545,Tarrant,,32.87440115,-97.26823975,32.8735,-97.268
14821,INWOOD ROAD,ADDISON,TX,75001,14821 INWOOD ROAD,AMERICAN SPIRITS BEVERAGE CO,AJ WORLDWIDE INC.,972-386-5455,Dallas,,32.94962526,-96.82917837,32.9501,-96.8299
309,MAIN STREET,SPEARMAN,TX,79081,309 MAIN STREET,AMIGOS,SPEARMAN AMIGOS LIQUOR STORE,806-694-2337,Hansford,,36.19854044,-101.1926038,36.1987,-101.193
4444,W JEFFERSON BOULEVARD,COCKRELL HILL,TX,75211,4444 W JEFFERSON BOULEVARD,AMIGOS LIQUOR BEER & WINE,VSJK CORPORATION,469-684-2857,Dallas,,32.73721437,-96.89196881,32.7366,-96.8924
13310,CULLEN BOULEVARD 'F',HOUSTON,TX,770473824,13310 CULLEN BOULEVARD 'F',ANDREW LIQUOR,MINH-TAN INVESTMENT INC.,(713) 733-9389,Harris,,29.61645441,-95.35551551,29.6155,-95.3561
7721,ALMEDA GENOA ROAD SUITE B,HOUSTON,TX,77075,7721 ALMEDA GENOA ROAD SUITE B,ANDREW LIQUOR #101,SHICHAKA INC.,713-991-0366,Harris,,29.6259514,-95.2845803,29.626,-95.2846
8420,S SAM HOUSTON WEST PARKWAY,HOUSTON,TX,770852242,8420 S SAM HOUSTON WEST PARKWAY,ANDREW LIQUOR #2,MARKHA CORPORATION,713-729-1701,Harris,,29.6216681,-95.5086247,29.6217,-95.5087
11322,BELLAIRE BOULEVARD SUITE 115,HOUSTON,TX,77072,11322 BELLAIRE BOULEVARD SUITE 115,ANDREW LIQUOR #4,VANESMA INVESTMENTS INC.,281-564-4313,Harris,,29.704193,-95.5780329,29.7043,-95.5784
15216,S POST OAK ROAD,HOUSTON,TX,77053,15216 S POST OAK ROAD,ANDREW LIQUOR #5,ATNK INVESTMENT LLC,713-433-5855,Harris,,29.6054429,-95.4652645,29.6054,-95.4652
1418,GESSNER ROAD SUITE B,HOUSTON,TX,77080,1418 GESSNER ROAD SUITE B,ANDREW LIQUOR #6,MATNESMA INC.,281-564-4313,Harris,,29.7958794,-95.5442843,29.7959,-95.5443
824,W LITTLE YORK ROAD,HOUSTON,TX,77091,824 W LITTLE YORK ROAD,ANDY LIQUOR,"NGUYEN, DAVID",281-372-6027,Harris,,29.86667669,-95.41987146,29.8674,-95.4184
1801,HWY 59 NORTH,SHEPHERD,TX,77371-6221,1801 HWY 59 NORTH,ANDY'S LIQUOR,"PATEL, ASHOKKUMAR RAOJIBHAI",936-628-2639,San Jacinto,,30.49361152,-94.99092692,30.5476,-94.9645
9616,N LAMAR BOULEVARD SUITE 165,AUSTIN,TX,787534150,9616 N LAMAR BOULEVARD SUITE 165,ANDY'S LIQUORS,DARU HOUSE LLC,(512) 832-0949,Travis,,30.3667979,-97.6955972,30.3663,-97.6964
4734,L J PARKWAY SUITE 308,SUGAR LAND,TX,77479,4734 L J PARKWAY SUITE 308,ANGEL LIQUOR,ANGEL VP LLC,,Fort Bend,,29.56644937,-95.63560349,29.5511,-95.5856
901,E PLANO PARKWAY SUITE 109,PLANO,TX,75074,901 E PLANO PARKWAY SUITE 109,ANGEL'S LIQUOR,JOLIE NT LLC,469-358-6745,Collin,,33.0078871,-96.7005832,33.0079,-96.7006
2540,E PLANO PARKWAY SUITE 100,PLANO,TX,75074,2540 E PLANO PARKWAY SUITE 100,ANGEL'S LIQUOR,JOLIE NT2 LLC,972-424-0248,Collin,,33.0061368,-96.6810511,33.0058,-96.6818
5764,IH 45W SOUTH,ANGUS,TX,75109,5764 IH 45W SOUTH,ANGUS DISCOUNT LIQUOR BEER & WINE,"HENG, DAVID",903-874-3414,Navarro,,32.04520575,-96.35403444,32.0102,-96.4357
5686,IH 45W SOUTH,CORSICANA,TX,75110,5686 IH 45W SOUTH,ANGUS FIRST STOP,"KHEIV, NANCY LANG",903-872-8403,Navarro,,32.08693059,-96.52878019,32.0869,-96.5288
10150,ANTOINE DRIVE SUITE 200,HOUSTON,TX,77086,10150 ANTOINE DRIVE SUITE 200,ANTOINE LIQUOR,10150 MYKIM CORPORATION,281-931-4604,Harris,,29.9238411,-95.4808898,29.9232,-95.4808
1608,W DICKINSON BOULEVARD,FORT STOCKTON,TX,79735-4239,1608 W DICKINSON BOULEVARD,APACHE LIQUORS,"FRANCO, RAYMUNDO PORRAS JR (ET AL)",432-336-5767,Pecos,,30.8940177,-102.8947081,30.894,-102.895
1228,RANGER HWY SUITE 200,WEATHERFORD,TX,76086,1228 RANGER HWY SUITE 200,APES LIQUOR,COX & KING LLC,760-525-6100,Parker,,32.75774831,-97.81672972,32.7582,-97.817
503,NW PARKWAY,AZLE,TX,76020,503 NW PARKWAY,APEX BEER LIQUORS WINE,SHOT STOP BEER LIQUORS WINE LLC,,Tarrant,,32.90002586,-97.56544351,32.8994,-97.5454
6316,LAKE WORTH BOULEVARD,LAKE WORTH,TX,76135,6316 LAKE WORTH BOULEVARD,APEX BEER LIQUORS WINE,SHOT STOP BEER LIQUORS WINE LLC,,Tarrant,,32.83433258,-97.46486973,32.8119,-97.423
100,NW PARKWAY,AZLE,TX,76020,100 NW PARKWAY,APEX BEER LIQUORS WINE,SHOT STOP BEER LIQUORS WINE LLC,(817) 444-2012,Tarrant,,32.90002586,-97.56544351,32.8922,-97.5402
717,W MAIN STREET,BAYTOWN,TX,77520,717 W MAIN STREET,APOLLO LIQUOR,PISETHEE LLC,281-422-0710,Harris,,29.72006519,-94.97917089,29.72,-94.9793
495,HWY 121 SUITE 200,LEWISVILLE,TX,75067,495 HWY 121 SUITE 200,APPLE JACK'S LIQUOR,APPLEJACKS LIQUOR LLC,214-444-7080,Denton ,,32.9922457,-96.9781358,32.9927,-96.9775
4524,APPLEBY SAND ROAD,NACOGDOCHES,TX,759656547,4524 APPLEBY SAND ROAD,APPLEBY LIQUOR,APPLE INTERNATIONAL INC.,,Nacogdoches,,31.6453198,-94.6179389,31.6453,-94.6179
345,E HICKORY STREET,DENTON,TX,76201,345 E HICKORY STREET,APPLEJACKS LIQUORS,APPLEJACKS BEVERAGES LLC,940-808-0390,Denton ,,33.2149343,-97.128492,33.2148,-97.1285
18401,W LAKE HOUSTON PARKWAY,HUMBLE,TX,77346,18401 W LAKE HOUSTON PARKWAY,AR'S LIQUOR,TIME COOL LLC,,Harris,,29.9851109,-95.1620317,29.9851,-95.1619
2214,INWOOD ROAD,DALLAS,TX,75235,2214 INWOOD ROAD,ARCADIA LIQUOR,INWOOD BEVERAGES INC.,214-797-8848,Dallas,,32.81771299,-96.84064368,32.8175,-96.8403
5626,E RL THORNTON FREEWAY,DALLAS,TX,75223,5626 E RL THORNTON FREEWAY,ARCADIA WINE & SPIRITS,ENWOOD BEVERAGE INC.,214-370-9095,Dallas,,32.79121776,-96.74560809,32.7906,-96.7454
